Descrição;Cód. Contabil;Fonte;Órgão;Rubrica;Aplicação;Valor Orçado Atualizado;Valor Orçado;Valor Creditado;Valor Debitado;Valor Arrecadado
"1 - Tesouro";"4.1.2.1.1.11.99";"1 - TESOURO";"-";"1128";"1100000 - GERAL";"200.000,00";"200.000,00";"233.920,10";"1.388,51";"50.494,56"
"1 - Tesouro";"4.4.2.4.1.16.00";"1 - TESOURO";"-";"1221";"1100000 - GERAL";"2.000.000,00";"2.000.000,00";"3.307.553,74";"19.847,24";"1.297.556,02"
"1 - Tesouro";"4.1.2.2.1.99.00";"1 - TESOURO";"-";"1203";"1100000 - GERAL";"1.000,00";"1.000,00";"154.424,39";"0,00";"153.666,92"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"170";"1100000 - GERAL";"1.269.000,00";"1.269.000,00";"2.841.928,56";"21.905,96";"424.799,73"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"1263";"2000000 - EDUCACAO";"52.500,00";"52.500,00";"329.311,19";"0,00";"29.909,63"
"1 - Tesouro";"4.4.9.1.1.00.00";"1 - TESOURO";"33 - SECRETARIA DE MOBILIDADE URBANA";"1856";"4000001 - MULTAS DE TRANSITO";"20.900.000,00";"20.900.000,00";"37.170.907,57";"7.792,81";"16.263.114,76"
"1 - Tesouro";"4.1.1.2.1.04.00";"1 - TESOURO";"-";"5";"3100000 - SAUDE - GERAL";"7.430.550,00";"7.430.550,00";"74.218.014,23";"3.216,76";"3.708.899,62"
"1 - Tesouro";"4.5.2.1.4.01.00";"1 - TESOURO";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"131";"1100000 - GERAL";"195.000.000,00";"195.000.000,00";"603.938.970,12";"0,00";"167.363.382,07"
"1 - Tesouro";"4.5.2.1.4.01.00";"1 - TESOURO";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"131";"3100000 - SAUDE - GERAL";"48.750.000,00";"48.750.000,00";"603.938.970,12";"0,00";"41.840.845,52"
"1 - Tesouro";"4.3.3.1.1.02.00";"1 - TESOURO";"-";"216";"1100000 - GERAL";"0,00";"0,00";"18.713,88";"0,00";"18.713,88"
"1 - Tesouro";"4.4.9.1.1.00.00";"1 - TESOURO";"-";"1982";"1000033 - FUNDO MUNICIPAL DE MEIO AMBIENTE - FUNDEMAT";"0,00";"0,00";"53,88";"0,00";"53,88"
"1 - Tesouro";"4.1.2.1.1.11.99";"1 - TESOURO";"-";"1462";"1100000 - GERAL";"1.000,00";"1.000,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.5.2.1.3.02.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"802";"1100000 - GERAL";"4.200.000,00";"4.200.000,00";"5.600.000,00";"0,00";"0,00"
"1 - Tesouro";"4.3.3.1.1.37.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"1080";"1100000 - GERAL";"1.000,00";"1.000,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"1440";"1100000 - GERAL";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"-";"1926";"1100000 - GERAL";"10.000,00";"10.000,00";"10.000,00";"0,00";"0,00"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"-";"1972";"1100000 - GERAL";"10.000,00";"10.000,00";"11.521,70";"0,00";"7.776,02"
"1 - Tesouro";"4.6.2.1.1.01.00";"1 - TESOURO";"26 - SECRETARIA DE OBRAS";"1485";"1200000 - ALIENACAO DE BENS";"10.000,00";"10.000,00";"10.000,00";"0,00";"0,00"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"-";"266";"1100000 - GERAL";"0,00";"0,00";"65.620,66";"0,00";"112.492,56"
"1 - Tesouro";"4.3.3.1.1.02.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"679";"1100000 - GERAL";"50.000,00";"50.000,00";"53.940,44";"0,00";"6.485,37"
"1 - Tesouro";"4.4.2.4.1.16.00";"1 - TESOURO";"-";"605";"3100000 - SAUDE - GERAL";"150,00";"150,00";"2.592,51";"0,00";"496,60"
"1 - Tesouro";"4.9.9.6.1.01.00";"1 - TESOURO";"-";"200";"1000000 - GERAL TOTAL";"0,00";"0,00";"223,84";"0,00";"1.099,57"
"1 - Tesouro";"4.9.9.9.1.00.00";"1 - TESOURO";"-";"1980";"1100000 - GERAL";"0,00";"0,00";"2.145.164,79";"484,38";"2.159.809,03"
"1 - Tesouro";"4.4.2.9.1.00.00";"1 - TESOURO";"-";"1998";"1000070 - FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO";"0,00";"0,00";"23,07";"0,00";"64,58"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"-";"42";"1000070 - FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO";"0,00";"0,00";"3.385,31";"0,00";"4.212,23"
"1 - Tesouro";"4.3.3.1.1.99.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"1272";"1100000 - GERAL";"1.134.000,00";"1.134.000,00";"1.607.448,19";"4.175,42";"483.590,83"
"1 - Tesouro";"3.5.2.2.4.00.00";"1 - TESOURO";"-";"175";"2000000 - EDUCACAO";"-27.844.000,00";"-27.844.000,00";"22.543.907,92";"27.844.000,00";"-22.543.907,92"
"1 - Tesouro";"4.4.5.2.1.00.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"841";"1000029 - FEBOM - FUNDO ESP. DE MANUT. DO CORPO DE BOMBEIROS - LEI 4.530/2011";"30.000,00";"30.000,00";"68.676,88";"0,00";"38.676,88"
"1 - Tesouro";"4.1.2.2.1.99.00";"1 - TESOURO";"-";"1220";"1100000 - GERAL";"2.000.000,00";"2.000.000,00";"3.081.432,43";"566,50";"1.083.680,04"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"1263";"3100000 - SAUDE - GERAL";"31.500,00";"31.500,00";"329.311,19";"0,00";"17.945,78"
"1 - Tesouro";"4.9.9.6.1.01.00";"1 - TESOURO";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"1939";"1000033 - FUNDO MUNICIPAL DE MEIO AMBIENTE - FUNDEMAT";"10.000,00";"10.000,00";"718.090,74";"0,00";"713.377,16"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"675";"1100000 - GERAL";"89.898.000,00";"89.898.000,00";"251.697.589,66";"558.766,96";"60.819.513,26"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"675";"2000000 - EDUCACAO";"37.457.500,00";"37.457.500,00";"251.697.589,66";"558.766,96";"25.341.463,86"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"674";"1100000 - GERAL";"3.000.000,00";"3.000.000,00";"8.411.424,14";"0,00";"2.054.609,13"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"674";"2000000 - EDUCACAO";"1.250.000,00";"1.250.000,00";"8.411.424,14";"0,00";"856.087,14"
"1 - Tesouro";"4.1.1.2.1.03.01";"1 - TESOURO";"-";"3";"2000000 - EDUCACAO";"22.425.000,00";"22.425.000,00";"163.961.765,16";"13.920,02";"18.589.579,04"
"1 - Tesouro";"4.1.1.2.1.04.00";"1 - TESOURO";"-";"162";"3100000 - SAUDE - GERAL";"7.050,00";"7.050,00";"64.980,80";"0,00";"3.623,78"
"1 - Tesouro";"4.1.1.2.1.02.00";"1 - TESOURO";"-";"161";"3100000 - SAUDE - GERAL";"2.550.000,00";"2.550.000,00";"24.753.471,96";"6.446,59";"1.164.286,29"
"1 - Tesouro";"4.1.1.2.1.02.00";"1 - TESOURO";"-";"1262";"3100000 - SAUDE - GERAL";"111.000,00";"111.000,00";"1.199.836,62";"0,00";"69.072,40"
"1 - Tesouro";"4.1.1.2.1.02.00";"1 - TESOURO";"-";"1262";"1100000 - GERAL";"444.000,00";"444.000,00";"1.199.836,62";"0,00";"276.289,60"
"1 - Tesouro";"4.5.2.1.4.02.00";"1 - TESOURO";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"132";"2000000 - EDUCACAO";"26.500.000,00";"26.500.000,00";"197.640.152,48";"48.533,19";"22.897.904,83"
"1 - Tesouro";"4.5.2.1.4.02.00";"1 - TESOURO";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"132";"1100000 - GERAL";"63.600.000,00";"63.600.000,00";"197.640.152,48";"48.533,19";"54.954.971,58"
"1 - Tesouro";"4.4.2.4.1.06.00";"1 - TESOURO";"-";"150";"2000000 - EDUCACAO";"250,00";"250,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.3.3.1.1.02.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"72";"1100000 - GERAL";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00"
"1 - Tesouro";"4.4.2.4.1.16.00";"1 - TESOURO";"-";"1042";"1100000 - GERAL";"1.000,00";"1.000,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"-";"1909";"1100000 - GERAL";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00"
"1 - Tesouro";"4.9.9.6.1.01.00";"1 - TESOURO";"-";"47";"1000159 - FMT - Fundo Municipal de Transportes (LEI Nº 5.830/2023)";"0,00";"0,00";"1.287,90";"0,00";"1.287,90"
"1 - Tesouro";"4.5.2.4.3.00.00";"1 - TESOURO";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"1789";"1100000 - GERAL";"1.000.000,00";"1.000.000,00";"1.075.613,46";"0,00";"756.134,60"
"1 - Tesouro";"4.5.2.1.3.02.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"802";"2000000 - EDUCACAO";"1.400.000,00";"1.400.000,00";"5.600.000,00";"0,00";"0,00"
"1 - Tesouro";"4.4.5.2.1.00.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"1769";"5000016 - FUNDO MUNIC HABITACAO INTERESSE SOCIAL - FHIS - STN 665";"0,00";"0,00";"43.410,27";"0,00";"43.410,27"
"1 - Tesouro";"4.1.2.1.1.11.99";"1 - TESOURO";"-";"1931";"1100000 - GERAL";"1.000,00";"1.000,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.9.9.6.1.01.00";"1 - TESOURO";"-";"1997";"1000070 - FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO";"0,00";"0,00";"633.797,58";"0,00";"793.433,67"
"1 - Tesouro";"4.5.2.1.3.03.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"91";"3100000 - SAUDE - GERAL";"15.000,00";"15.000,00";"228.840,81";"0,00";"19.326,12"
"1 - Tesouro";"4.5.2.1.3.02.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"90";"2000000 - EDUCACAO";"32.000.000,00";"32.000.000,00";"240.175.679,21";"0,00";"28.043.919,80"
"1 - Tesouro";"4.3.3.1.1.99.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"1093";"1100000 - GERAL";"1.000,00";"1.000,00";"50.566,15";"0,00";"52.338,22"
"1 - Tesouro";"4.3.3.1.1.37.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"79";"1100000 - GERAL";"1.040.000,00";"1.040.000,00";"1.471.945,13";"496,49";"519.538,43"
"1 - Tesouro";"4.4.5.2.1.00.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"1726";"5000007 - FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL - FMAS";"0,00";"0,00";"1.138,95";"0,00";"1.138,95"
"1 - Tesouro";"4.4.5.2.1.00.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"1655";"3100000 - SAUDE - GERAL";"0,00";"0,00";"3.346,31";"0,00";"3.346,31"
"1 - Tesouro";"4.3.3.1.1.02.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"75";"1100000 - GERAL";"200.000,00";"200.000,00";"243.372,95";"0,00";"155.237,70"
"1 - Tesouro";"4.2.3.1.1.01.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"803";"1000035 - FUNDO MUNICIPAL DE ILUMINACAO PUBLICA - FUNDIP";"18.550.000,00";"18.550.000,00";"34.763.473,63";"0,00";"16.213.473,63"
"1 - Tesouro";"4.1.2.2.1.99.00";"1 - TESOURO";"-";"1261";"1100000 - GERAL";"1.000.000,00";"1.000.000,00";"1.467.246,12";"163,31";"468.504,51"
"1 - Tesouro";"4.1.2.2.1.99.00";"1 - TESOURO";"-";"1260";"1100000 - GERAL";"11.000.000,00";"11.000.000,00";"22.264.952,80";"26.827,34";"11.273.296,42"
"1 - Tesouro";"4.1.2.2.1.99.00";"1 - TESOURO";"-";"1255";"1100000 - GERAL";"900.000,00";"900.000,00";"1.711.425,40";"403,32";"1.005.438,95"
"1 - Tesouro";"4.4.2.4.1.16.00";"1 - TESOURO";"-";"154";"3100000 - SAUDE - GERAL";"621.750,00";"621.750,00";"5.864.416,92";"191.968,88";"230.182,68"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"678";"1100000 - GERAL";"21.000,00";"21.000,00";"90.268,18";"0,00";"33.390,03"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"677";"2000000 - EDUCACAO";"750.000,00";"750.000,00";"5.266.020,41";"13.721,24";"575.664,11"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"677";"1100000 - GERAL";"1.800.000,00";"1.800.000,00";"5.266.020,41";"13.721,24";"1.381.593,86"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"675";"3100000 - SAUDE - GERAL";"22.474.500,00";"22.474.500,00";"251.697.589,66";"558.766,96";"15.204.878,32"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"6";"1100000 - GERAL";"7.200.000,00";"7.200.000,00";"15.213.177,63";"8.589,02";"4.703.157,07"
"1 - Tesouro";"4.1.1.2.1.02.00";"1 - TESOURO";"-";"2";"3100000 - SAUDE - GERAL";"3.064.800,00";"3.064.800,00";"35.712.422,35";"13.593,59";"2.290.518,20"
"1 - Tesouro";"4.1.1.2.1.02.00";"1 - TESOURO";"-";"2";"2000000 - EDUCACAO";"5.108.000,00";"5.108.000,00";"35.712.422,35";"13.593,59";"3.817.530,33"
"1 - Tesouro";"4.5.2.1.4.04.00";"1 - TESOURO";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"134";"1300000 - CIDE - CONTRIBUIÇÃO INTERVENÇÃO NO DOMÍNIO ECONÔMICO  - STN 750";"340.000,00";"340.000,00";"560.777,46";"0,00";"220.777,46"
"1 - Tesouro";"4.5.2.1.4.03.00";"1 - TESOURO";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"133";"1100000 - GERAL";"1.140.000,00";"1.140.000,00";"3.949.034,34";"0,00";"1.229.420,60"
"1 - Tesouro";"1.2.1.1.1.05.04";"1 - TESOURO";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"1934";"1100000 - GERAL";"1.000,00";"1.000,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.5.2.1.3.02.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"656";"2000000 - EDUCACAO";"1.405.000,00";"1.405.000,00";"11.596.874,17";"0,00";"1.494.218,54"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"-";"35";"1000070 - FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO";"0,00";"0,00";"5.292,75";"0,00";"28.921,94"
"1 - Tesouro";"4.5.2.1.3.02.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"656";"1100000 - GERAL";"4.215.000,00";"4.215.000,00";"11.596.874,17";"0,00";"4.482.655,63"
"1 - Tesouro";"4.1.2.2.1.99.00";"1 - TESOURO";"-";"1256";"1100000 - GERAL";"1.000,00";"1.000,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.3.3.1.1.37.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"1081";"1100000 - GERAL";"1.000,00";"1.000,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.4.9.1.1.00.00";"1 - TESOURO";"19 - SEC. DE GOVERNO E RELAÇÕES INSTITUCIONAIS";"1858";"1000102 - FUNDO MUNICIPAL DE DEF.DOS DIREITOS DO CONS.-FMDDC";"10.000,00";"10.000,00";"14.659,49";"0,00";"4.659,49"
"1 - Tesouro";"4.1.2.1.1.11.99";"1 - TESOURO";"-";"1460";"1100000 - GERAL";"1.000,00";"1.000,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"1.2.1.1.1.05.04";"1 - TESOURO";"-";"1951";"1000070 - FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO";"1.000,00";"1.000,00";"1.003,61";"0,00";"8,76"
"1 - Tesouro";"4.1.1.2.1.04.00";"1 - TESOURO";"-";"174";"3100000 - SAUDE - GERAL";"150,00";"150,00";"1.693,02";"0,00";"210,14"
"1 - Tesouro";"4.1.1.2.1.04.00";"1 - TESOURO";"-";"174";"1100000 - GERAL";"600,00";"600,00";"1.693,02";"0,00";"840,56"
"1 - Tesouro";"4.4.2.4.1.06.00";"1 - TESOURO";"-";"150";"1100000 - GERAL";"600,00";"600,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"-";"41";"1000070 - FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO";"0,00";"0,00";"965,91";"0,00";"1.360,59"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"-";"40";"1000070 - FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO";"0,00";"0,00";"2.143,35";"0,00";"2.143,35"
"1 - Tesouro";"4.5.2.1.3.03.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"91";"2000000 - EDUCACAO";"25.000,00";"25.000,00";"228.840,81";"0,00";"32.210,20"
"1 - Tesouro";"1.1.2.1.1.02.01";"1 - TESOURO";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"1976";"1000000 - GERAL TOTAL";"0,00";"0,00";"39.210,72";"0,00";"43.467,48"
"1 - Tesouro";"4.5.2.1.3.02.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"90";"1100000 - GERAL";"76.800.000,00";"76.800.000,00";"240.175.679,21";"0,00";"67.305.407,53"
"1 - Tesouro";"4.3.3.1.1.99.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"86";"1100000 - GERAL";"1.510.000,00";"1.510.000,00";"2.738.077,34";"340,28";"1.253.713,52"
"1 - Tesouro";"2.1.8.8.2.99.00";"1 - TESOURO";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"1970";"1100000 - GERAL";"1.500.000,00";"1.500.000,00";"1.934.764,31";"11.296,78";"491.283,59"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"1138";"1100000 - GERAL";"2.000.000,00";"2.000.000,00";"3.006.091,50";"852.276,52";"160.541,83"
"1 - Tesouro";"4.4.5.2.1.00.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"284";"1300000 - CIDE - CONTRIBUIÇÃO INTERVENÇÃO NO DOMÍNIO ECONÔMICO  - STN 750";"10.000,00";"10.000,00";"16.452,22";"0,00";"6.452,22"
"1 - Tesouro";"4.4.5.2.1.00.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"840";"1100000 - GERAL";"6.955.000,00";"6.955.000,00";"8.676.663,59";"32.640,97";"1.696.629,41"
"1 - Tesouro";"4.1.1.2.1.02.00";"1 - TESOURO";"-";"161";"1100000 - GERAL";"10.200.000,00";"10.200.000,00";"24.753.471,96";"6.446,59";"4.657.145,18"
"1 - Tesouro";"4.4.2.4.1.16.00";"1 - TESOURO";"-";"153";"1100000 - GERAL";"7.020.000,00";"7.020.000,00";"19.185.083,96";"18.133,82";"4.486.280,76"
"1 - Tesouro";"4.1.1.2.1.04.00";"1 - TESOURO";"-";"1267";"1100000 - GERAL";"43.800,00";"43.800,00";"103.166,04";"0,00";"22.282,77"
"1 - Tesouro";"4.4.2.4.1.16.00";"1 - TESOURO";"-";"605";"1100000 - GERAL";"600,00";"600,00";"2.592,51";"0,00";"1.986,41"
"1 - Tesouro";"4.1.1.2.1.03.02";"1 - TESOURO";"-";"4";"1100000 - GERAL";"4.020.000,00";"4.020.000,00";"13.196.122,59";"7.471,68";"7.212.122,31"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"674";"3100000 - SAUDE - GERAL";"750.000,00";"750.000,00";"8.411.424,14";"0,00";"513.652,28"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"676";"3100000 - SAUDE - GERAL";"6.300.000,00";"6.300.000,00";"72.985.613,90";"112,56";"4.647.825,20"
"1 - Tesouro";"4.4.2.4.1.07.00";"1 - TESOURO";"-";"151";"3100000 - SAUDE - GERAL";"507.000,00";"507.000,00";"5.624.005,89";"0,00";"336.659,87"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"163";"3100000 - SAUDE - GERAL";"575.250,00";"575.250,00";"5.882.164,35";"445,41";"310.855,22"
"1 - Tesouro";"4.1.2.2.1.99.00";"1 - TESOURO";"-";"1257";"1100000 - GERAL";"264.000,00";"264.000,00";"272.158,55";"0,00";"10.126,20"
"1 - Tesouro";"4.4.9.1.1.00.00";"1 - TESOURO";"-";"1197";"1100000 - GERAL";"10.000,00";"10.000,00";"11.030,73";"0,00";"1.030,73"
"1 - Tesouro";"4.4.9.1.1.00.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"1082";"1100000 - GERAL";"300.000,00";"300.000,00";"453.595,26";"0,00";"169.287,47"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"29 - SECRETARIA DE EDUCACAO";"17";"2630000 - REMUNERACAO DE APLICACOES FINANCEIRAS";"1.810.000,00";"1.810.000,00";"3.633.607,20";"66.832,18";"1.823.607,20"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"304";"1000162 - FEHIDRO - CT 221/2024 - MELHORIA DA MACRO E MICRODRENAGEM DA AV. DO POVO -  STN 701";"0,00";"0,00";"13.482,68";"0,00";"13.482,68"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"257";"8010071 - 	SES MAC - RES SS 99/2025 - CUSTEIO HMUT - EM. 2025.325.69616 - DEP. ORTIZ JUNIOR - STN 749";"0,00";"0,00";"1.500.000,00";"0,00";"1.500.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.1.4.06.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"24 - SECRETARIA DE SAUDE";"217";"3080025 - SES - S/PAPEL DEM. 90822 CV 703/2025 P.S GESTAO HMUT - STN 632";"0,00";"0,00";"3.500.000,00";"0,00";"24.500.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"251";"8010075 - SES MAC - RES SS 96/2025 - CUSTEIO HMUT - EM. 2025.066.67949 - DEP. MARINA HELOU - STN 749";"0,00";"0,00";"100.000,00";"0,00";"100.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"172";"5000064 - FEAS - PROTEÇÃO SOCIAL ESPECIAL STN 661";"0,00";"0,00";"9.992,86";"0,00";"9.992,86"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"27 - SECRETARIA DE SERVICOS PUBLICOS";"1196";"8010037 - SGRI - S/PAPEL DEM.64958 INFRAESTRUTURA URBANA EM. 2023.062.52512 MARCIO NAKASHIMA - STN 749";"300.000,00";"300.000,00";"569.999,95";"0,00";"269.999,95"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"125";"8010011 - SCEC - S/PAPEL DEM.3964 MOBILIÁRIO/EQUIP. ESPAÇO CULTURAL EM.2020.057.17453 LETÍCIA AGUIAR STN 749";"0,00";"0,00";"4.563,83";"0,00";"4.563,83"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"190";"8010000 - TRANSFERÊNCIAS DO ESTADO DECORRENTES DE EMENDAS PARLAMENTARES INDIVIDUAIS.";"0,00";"0,00";"463,91";"0,00";"506,88"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"124";"8010001 - CC - S/PAPEL DEM.29874 TRANSF. ESP. GND 3/4 EM.2022355410239273 VALERIA BOLSONARO STN 749";"0,00";"0,00";"3.561,78";"0,00";"3.561,78"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"169";"5000013 - FEAS - PROTECAO SOCIAL BASICA STN 661";"0,00";"0,00";"174.736,78";"0,00";"392.119,76"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"110";"5000059 - FEAS- SEDS RESOLUÇÃO 36/2024 - STN 661";"0,00";"0,00";"4.849,80";"189,48";"4.660,32"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"26 - SECRETARIA DE OBRAS";"358";"1000156 - SGRI - S/PAPEL DEM. 63261 INFRAESTRUTURA URBANA - STN 701";"3.151.500,00";"3.151.500,00";"3.219.599,27";"7.435,03";"68.099,27"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"233";"5000066 - FEAS - Rendimentos Prot. Média (conta 81.939-5) STN 661";"0,00";"0,00";"5.753,43";"0,00";"5.753,43"
